Product,Items_needed,Unit_Cost,Total_Cost
325,1084,0.21,227.64
486,660,8.76,5779.62
484,660,6.88,4539.15
487,660,5.81,3832.29
477,660,11.67,7699.23
524,660,13.54,8939.7
526,660,3.64,2404.71
527,660,6.75,4455.99
922,660,6.53,4310.46
355,660,1.37,900.9
535,660,3.49,2300.76
679,660,5.98,3948.43
351,660,5.98,3950.1
352,660,1.31,866.25
332,660,10.82,7137.9
511,660,28.49,18806.06
932,660,39.46,26042.46
318,660,34.84,22993.74
525,660,2.32,1531.53
921,660,5.59,3686.76
508,660,28.47,18787.23
929,660,36.79,24282.1
319,592,46.98,27809.91
523,570,10.56,6017.92
530,542,16.09,8718.61
326,542,0.21,113.82
483,542,9.69,5252.79
485,542,7.8,4228.41
478,542,11.09,6009.7
482,542,8.76,4746.29
907,542,82.83,44896.3
948,542,82.83,44896.3
317,506,28.32,14329.16
513,502,32.83,16482.73
923,502,6.18,3104.62
934,502,37.88,19015.91
936,373,48.29,18011.98
510,354,23.26,8233.84
931,354,34.57,12236.1
512,294,36.16,10630.54
933,294,43.72,12853.18
912,252,30.44,7670.75
939,252,48.29,12168.95
941,251,62.99,15810.36
909,237,30.44,7214.16
507,216,22.78,4920.43
928,216,32.48,7014.72
509,192,36.28,6965.28
930,192,42.74,8206.95
914,114,21.09,2404.77
908,108,21.09,2278.21
935,108,31.49,3400.87
916,106,40.94,4339.59
911,100,21.09,2109.45
938,100,31.49,3148.95
910,96,40.94,3930.19
937,96,62.99,6046.99
913,94,40.94,3848.31
940,94,62.99,5921.01
493,72,57.72,4155.61
358,72,6.98,502.74
506,72,9.2,662.26
322,72,26.83,1931.86
952,72,15.74,1133.24
357,72,4.15,298.5
356,72,3.49,251.45
492,72,50.51,3636.64
494,72,51.96,3740.8
496,72,49.29,3548.71
495,72,63.3,4557.86
915,31,30.44,943.62
497,4,34.19,123.08
528,4,38.16,137.37
1,4,50.26,180.95
4,4,57.03,205.29
323,4,50.26,180.95
402,4,47.47,170.89
459,4,43.02,154.88
462,4,47.68,171.65
491,4,19.96,71.86
320,4,47.48,170.92
321,4,42.51,153.05
2,4,41.92,150.9
461,4,41.45,149.23
504,4,48.76,175.54
505,4,44.22,159.18
490,4,12.54,45.13
